Timestamp,Dataset,p,Final_Critical_k,Speedup_At_k,Ratio
2026-02-01 12:52:34,Synthetic_high_corr,25,13,0.0078,0.9999
2026-02-01 12:52:34,Synthetic_high_corr,41,21,0.0265,0.9997
2026-02-01 12:52:35,Synthetic_high_corr,57,29,0.0571,0.9999
2026-02-01 12:52:35,Synthetic_high_corr,74,37,0.1046,1.0000
2026-02-01 12:52:36,Synthetic_high_corr,90,45,0.1744,1.0000
2026-02-01 12:52:36,Synthetic_high_corr,106,53,0.2543,1.0000
2026-02-01 12:52:37,Synthetic_high_corr,123,62,0.3869,1.0000
2026-02-01 12:52:37,Synthetic_high_corr,139,70,0.5376,1.0000
2026-02-01 12:52:38,Synthetic_high_corr,156,78,0.7466,0.9999
2026-02-01 12:52:39,Synthetic_high_corr,172,86,0.9621,0.9999
2026-02-01 12:52:41,Synthetic_high_corr,188,94,1.2639,0.9999
2026-02-01 12:52:42,Synthetic_high_corr,205,103,1.5403,0.9999
2026-02-01 12:52:44,Synthetic_high_corr,221,111,1.9574,0.9999
2026-02-01 12:52:46,Synthetic_high_corr,237,119,2.3005,0.9999
2026-02-01 12:52:49,Synthetic_high_corr,254,127,2.7381,0.9999
2026-02-01 12:52:52,Synthetic_high_corr,270,135,3.2630,0.9999
2026-02-01 12:52:56,Synthetic_high_corr,287,144,3.8098,0.9999
2026-02-01 12:53:00,Synthetic_high_corr,303,152,4.2921,0.9999
2026-02-01 12:53:06,Synthetic_high_corr,319,160,4.7206,0.9999
2026-02-01 12:53:12,Synthetic_high_corr,336,168,5.9553,1.0000
2026-02-01 12:53:19,Synthetic_high_corr,352,176,6.6067,0.9999
2026-02-01 12:53:27,Synthetic_high_corr,368,184,7.3248,0.9999
2026-02-01 12:53:37,Synthetic_high_corr,385,193,7.4838,0.9999
2026-02-01 12:53:48,Synthetic_high_corr,401,201,8.2432,0.9999
2026-02-01 12:54:00,Synthetic_high_corr,418,209,9.0245,0.9999
2026-02-01 12:54:15,Synthetic_high_corr,434,217,9.8502,0.9999
2026-02-01 12:54:32,Synthetic_high_corr,450,225,10.9013,0.9999
2026-02-01 12:54:50,Synthetic_high_corr,467,234,11.7711,0.9999
2026-02-01 12:55:12,Synthetic_high_corr,483,242,12.7302,0.9999
2026-02-01 12:55:36,Synthetic_high_corr,500,250,14.1584,0.9999
2026-02-01 12:55:36,Synthetic_high_corr,25,13,0.0086,0.9998
2026-02-01 12:55:37,Synthetic_high_corr,41,21,0.0259,0.9999
2026-02-01 12:55:37,Synthetic_high_corr,57,29,0.0560,0.9996
2026-02-01 12:55:38,Synthetic_high_corr,74,37,0.1046,0.9998
2026-02-01 12:55:38,Synthetic_high_corr,90,45,0.1716,0.9999
2026-02-01 12:55:39,Synthetic_high_corr,106,53,0.2589,0.9999
2026-02-01 12:55:39,Synthetic_high_corr,123,62,0.3940,0.9999
2026-02-01 12:55:40,Synthetic_high_corr,139,70,0.5297,0.9999
2026-02-01 12:55:41,Synthetic_high_corr,156,78,0.7446,0.9999
2026-02-01 12:55:42,Synthetic_high_corr,172,86,0.9770,0.9999
2026-02-01 12:55:43,Synthetic_high_corr,188,94,1.2640,0.9999
2026-02-01 12:55:45,Synthetic_high_corr,205,103,1.5506,0.9999
2026-02-01 12:55:47,Synthetic_high_corr,221,111,1.9208,0.9999
2026-02-01 12:55:49,Synthetic_high_corr,237,119,2.3464,0.9999
2026-02-01 12:55:51,Synthetic_high_corr,254,127,2.7495,0.9999
2026-02-01 12:55:54,Synthetic_high_corr,270,135,3.2250,0.9999
2026-02-01 12:55:58,Synthetic_high_corr,287,144,3.8115,0.9999
2026-02-01 12:56:03,Synthetic_high_corr,303,152,4.2739,0.9999
2026-02-01 12:56:08,Synthetic_high_corr,319,160,4.9003,0.9999
2026-02-01 12:56:14,Synthetic_high_corr,336,168,5.8884,0.9999
2026-02-01 12:56:21,Synthetic_high_corr,352,176,6.4964,0.9999
2026-02-01 12:56:29,Synthetic_high_corr,368,184,7.3303,0.9999
2026-02-01 12:56:39,Synthetic_high_corr,385,193,7.3852,0.9999
2026-02-01 12:56:50,Synthetic_high_corr,401,201,8.2637,0.9999
2026-02-01 12:57:03,Synthetic_high_corr,418,209,9.0207,0.9999
2026-02-01 12:57:17,Synthetic_high_corr,434,217,9.8965,0.9999
2026-02-01 12:57:34,Synthetic_high_corr,450,225,10.8792,0.9999
2026-02-01 12:57:53,Synthetic_high_corr,467,234,11.7801,0.9999
2026-02-01 12:58:14,Synthetic_high_corr,483,242,12.7092,0.9999
2026-02-01 12:58:38,Synthetic_high_corr,500,250,14.2047,0.9999
2026-02-01 12:58:39,Synthetic_high_corr,25,13,0.0086,0.9997
2026-02-01 12:58:39,Synthetic_high_corr,41,21,0.0250,0.9997
2026-02-01 12:58:39,Synthetic_high_corr,57,29,0.0582,0.9999
2026-02-01 12:58:40,Synthetic_high_corr,74,37,0.1051,0.9999
2026-02-01 12:58:40,Synthetic_high_corr,90,45,0.1746,0.9999
2026-02-01 12:58:41,Synthetic_high_corr,106,53,0.2584,0.9999
2026-02-01 12:58:42,Synthetic_high_corr,123,62,0.3882,0.9999
2026-02-01 12:58:42,Synthetic_high_corr,139,70,0.5260,1.0000
2026-02-01 12:58:43,Synthetic_high_corr,156,78,0.7403,0.9999
2026-02-01 12:58:44,Synthetic_high_corr,172,86,0.9681,0.9999
2026-02-01 12:58:45,Synthetic_high_corr,188,94,1.2644,0.9999
2026-02-01 12:58:47,Synthetic_high_corr,205,103,1.5389,0.9999
2026-02-01 12:58:49,Synthetic_high_corr,221,111,1.9113,0.9999
2026-02-01 12:58:51,Synthetic_high_corr,237,119,2.3241,0.9999
2026-02-01 12:58:54,Synthetic_high_corr,254,127,2.7425,0.9999
2026-02-01 12:58:57,Synthetic_high_corr,270,135,3.2318,0.9999
2026-02-01 12:59:00,Synthetic_high_corr,287,144,3.8094,0.9999
2026-02-01 12:59:05,Synthetic_high_corr,303,152,4.2922,0.9999
2026-02-01 12:59:10,Synthetic_high_corr,319,160,4.8891,0.9999
2026-02-01 12:59:16,Synthetic_high_corr,336,168,5.9010,0.9999
2026-02-01 12:59:23,Synthetic_high_corr,352,176,6.5904,0.9999
2026-02-01 12:59:31,Synthetic_high_corr,368,184,7.3081,0.9999
2026-02-01 12:59:41,Synthetic_high_corr,385,193,7.5273,0.9999
2026-02-01 12:59:52,Synthetic_high_corr,401,201,8.2421,0.9999
2026-02-01 13:00:05,Synthetic_high_corr,418,209,9.0085,0.9999
2026-02-01 13:00:20,Synthetic_high_corr,434,217,9.8858,0.9999
2026-02-01 13:00:36,Synthetic_high_corr,450,225,10.9453,0.9999
2026-02-01 13:00:55,Synthetic_high_corr,467,234,11.7794,0.9999
2026-02-01 13:01:17,Synthetic_high_corr,483,242,12.7523,0.9999
2026-02-01 13:01:41,Synthetic_high_corr,500,250,14.2575,0.9999
2026-02-01 13:01:41,Synthetic_high_corr,25,13,0.0150,0.9999
2026-02-01 13:01:42,Synthetic_high_corr,41,21,0.0264,0.9999
2026-02-01 13:01:42,Synthetic_high_corr,57,29,0.0570,0.9998
2026-02-01 13:01:42,Synthetic_high_corr,74,37,0.1057,0.9999
2026-02-01 13:01:43,Synthetic_high_corr,90,45,0.1737,0.9998
2026-02-01 13:01:43,Synthetic_high_corr,106,53,0.2591,0.9999
2026-02-01 13:01:44,Synthetic_high_corr,123,62,0.3861,0.9999
2026-02-01 13:01:45,Synthetic_high_corr,139,70,0.5299,0.9999
2026-02-01 13:01:46,Synthetic_high_corr,156,78,0.7434,0.9999
2026-02-01 13:01:47,Synthetic_high_corr,172,86,0.9709,0.9999
2026-02-01 13:01:48,Synthetic_high_corr,188,94,1.2539,0.9999
2026-02-01 13:01:50,Synthetic_high_corr,205,103,1.5488,0.9999
2026-02-01 13:01:51,Synthetic_high_corr,221,111,1.9328,1.0000
2026-02-01 13:01:54,Synthetic_high_corr,237,119,2.3037,0.9999
2026-02-01 13:01:56,Synthetic_high_corr,254,127,2.7564,1.0000
2026-02-01 13:01:59,Synthetic_high_corr,270,135,3.2334,1.0000
2026-02-01 13:02:03,Synthetic_high_corr,287,144,3.8078,0.9999
2026-02-01 13:02:07,Synthetic_high_corr,303,152,4.2928,0.9999
2026-02-01 13:02:13,Synthetic_high_corr,319,160,4.8832,0.9999
2026-02-01 13:02:19,Synthetic_high_corr,336,168,5.9263,0.9999
2026-02-01 13:02:26,Synthetic_high_corr,352,176,6.6086,0.9999
2026-02-01 13:02:34,Synthetic_high_corr,368,184,7.3097,1.0000
2026-02-01 13:02:44,Synthetic_high_corr,385,193,7.5520,0.9999
2026-02-01 13:02:55,Synthetic_high_corr,401,201,8.2695,0.9999
2026-02-01 13:03:07,Synthetic_high_corr,418,209,9.0306,0.9999
2026-02-01 13:03:22,Synthetic_high_corr,434,217,9.9148,0.9999
2026-02-01 13:03:39,Synthetic_high_corr,450,225,10.9345,0.9999
2026-02-01 13:03:57,Synthetic_high_corr,467,234,11.6455,0.9999
2026-02-01 13:04:19,Synthetic_high_corr,483,242,12.7516,0.9999
2026-02-01 13:04:43,Synthetic_high_corr,500,250,14.2958,0.9999
2026-02-01 13:04:44,Synthetic_high_corr,25,13,0.0125,0.9998
2026-02-01 13:04:44,Synthetic_high_corr,41,21,0.0255,0.9998
2026-02-01 13:04:44,Synthetic_high_corr,57,29,0.0555,0.9999
2026-02-01 13:04:45,Synthetic_high_corr,74,37,0.1026,0.9999
2026-02-01 13:04:45,Synthetic_high_corr,90,45,0.1710,0.9999
2026-02-01 13:04:46,Synthetic_high_corr,106,53,0.2600,0.9999
2026-02-01 13:04:47,Synthetic_high_corr,123,62,0.3905,0.9999
2026-02-01 13:04:47,Synthetic_high_corr,139,70,0.5348,0.9999
2026-02-01 13:04:48,Synthetic_high_corr,156,78,0.7442,0.9999
2026-02-01 13:04:49,Synthetic_high_corr,172,86,0.9710,1.0000
2026-02-01 13:04:51,Synthetic_high_corr,188,94,1.2596,0.9999
2026-02-01 13:04:52,Synthetic_high_corr,205,103,1.5438,0.9999
2026-02-01 13:04:54,Synthetic_high_corr,221,111,1.9199,0.9999
2026-02-01 13:04:56,Synthetic_high_corr,237,119,2.3171,0.9999
2026-02-01 13:04:59,Synthetic_high_corr,254,127,2.7485,1.0000
2026-02-01 13:05:02,Synthetic_high_corr,270,135,3.2649,0.9999
2026-02-01 13:05:06,Synthetic_high_corr,287,144,3.7949,0.9999
2026-02-01 13:05:10,Synthetic_high_corr,303,152,4.2907,0.9999
2026-02-01 13:05:15,Synthetic_high_corr,319,160,4.8586,0.9999
2026-02-01 13:05:21,Synthetic_high_corr,336,168,5.9216,0.9999
2026-02-01 13:05:28,Synthetic_high_corr,352,176,6.5917,0.9999
2026-02-01 13:05:36,Synthetic_high_corr,368,184,7.3317,0.9999
