Timestamp,Dataset,p,Final_Critical_k,Speedup_At_k,Ratio
2026-01-26 18:19:14,Residential,25,13,,0.9996
2026-01-26 18:19:14,Residential,27,14,,0.9994
2026-01-26 18:19:14,Residential,30,15,,1.0008
2026-01-26 18:19:14,Residential,33,17,,0.9996
2026-01-26 18:19:14,Residential,35,18,,0.9986
2026-01-26 18:19:15,Residential,38,19,,0.9981
2026-01-26 18:19:15,Residential,41,21,,0.9973
2026-01-26 18:19:15,Residential,43,22,,0.9986
2026-01-26 18:19:15,Residential,46,23,,0.9994
2026-01-26 18:19:15,Residential,49,25,,0.9998
2026-01-26 18:19:15,Residential,51,26,,0.9997
2026-01-26 18:19:15,Residential,54,27,,0.9997
2026-01-26 18:19:15,Residential,57,29,,0.9999
2026-01-26 18:19:15,Residential,59,30,,0.9996
2026-01-26 18:19:15,Residential,62,31,,0.9999
2026-01-26 18:19:15,Residential,65,33,,1.0003
2026-01-26 18:19:15,Residential,68,34,,1.0000
2026-01-26 18:19:16,Residential,70,35,,1.0000
2026-01-26 18:19:16,Residential,73,37,,0.9999
2026-01-26 18:19:16,Residential,76,38,,1.0000
2026-01-26 18:19:16,Residential,78,39,,0.9996
2026-01-26 18:19:16,Residential,81,41,,1.0001
2026-01-26 18:19:16,Residential,84,42,,1.0000
2026-01-26 18:19:16,Residential,86,43,,1.0002
2026-01-26 18:19:17,Residential,89,45,,1.0002
2026-01-26 18:19:17,Residential,92,46,,1.0002
2026-01-26 18:19:17,Residential,94,47,,1.0001
2026-01-26 18:19:17,Residential,97,49,,1.0000
2026-01-26 18:19:17,Residential,100,50,,1.0000
2026-01-26 18:19:18,Residential,103,52,,1.0000
2026-01-26 18:19:19,Residential,25,13,,0.9997
2026-01-26 18:19:19,Residential,27,14,,0.9992
2026-01-26 18:19:19,Residential,30,15,,0.9960
2026-01-26 18:19:19,Residential,33,17,,0.9968
2026-01-26 18:19:19,Residential,35,18,,0.9992
2026-01-26 18:19:19,Residential,38,19,,0.9992
2026-01-26 18:19:19,Residential,41,21,,0.9999
2026-01-26 18:19:20,Residential,43,22,,0.9994
2026-01-26 18:19:20,Residential,46,23,,0.9999
2026-01-26 18:19:20,Residential,49,25,,0.9997
2026-01-26 18:19:20,Residential,51,26,,0.9986
2026-01-26 18:19:20,Residential,54,27,,0.9992
2026-01-26 18:19:20,Residential,57,29,,0.9992
2026-01-26 18:19:20,Residential,59,30,,0.9996
2026-01-26 18:19:20,Residential,62,31,,0.9995
2026-01-26 18:19:20,Residential,65,33,,0.9998
2026-01-26 18:19:20,Residential,68,34,,1.0002
2026-01-26 18:19:20,Residential,70,35,,0.9994
2026-01-26 18:19:21,Residential,73,37,,1.0001
2026-01-26 18:19:21,Residential,76,38,,0.9999
2026-01-26 18:19:21,Residential,78,39,,0.9997
2026-01-26 18:19:21,Residential,81,41,,1.0000
2026-01-26 18:19:21,Residential,84,42,,0.9999
2026-01-26 18:19:21,Residential,86,43,,1.0000
2026-01-26 18:19:21,Residential,89,45,,1.0000
2026-01-26 18:19:22,Residential,92,46,,1.0004
2026-01-26 18:19:22,Residential,94,47,,1.0000
2026-01-26 18:19:22,Residential,97,49,,1.0000
2026-01-26 18:19:22,Residential,100,50,,1.0000
2026-01-26 18:19:22,Residential,103,52,,1.0000
2026-01-26 18:19:22,Residential,25,13,,0.9972
2026-01-26 18:19:22,Residential,27,14,,0.9984
2026-01-26 18:19:22,Residential,30,15,,0.9969
2026-01-26 18:19:22,Residential,33,17,,0.9985
2026-01-26 18:19:22,Residential,35,18,,0.9982
2026-01-26 18:19:22,Residential,38,19,,1.0001
2026-01-26 18:19:22,Residential,41,21,,1.0003
2026-01-26 18:19:22,Residential,43,22,,0.9999
2026-01-26 18:19:22,Residential,46,23,,0.9983
2026-01-26 18:19:23,Residential,49,25,,0.9988
2026-01-26 18:19:23,Residential,51,26,,0.9981
2026-01-26 18:19:23,Residential,54,27,,1.0000
2026-01-26 18:19:23,Residential,57,29,,1.0000
2026-01-26 18:19:23,Residential,59,30,,1.0000
2026-01-26 18:19:23,Residential,62,31,,0.9998
2026-01-26 18:19:23,Residential,65,33,,0.9999
2026-01-26 18:19:23,Residential,68,34,,0.9998
2026-01-26 18:19:23,Residential,70,35,,0.9996
2026-01-26 18:19:23,Residential,73,37,,0.9997
2026-01-26 18:19:24,Residential,76,38,,0.9998
2026-01-26 18:19:24,Residential,78,39,,1.0003
2026-01-26 18:19:24,Residential,81,41,,1.0002
2026-01-26 18:19:24,Residential,84,42,,0.9999
2026-01-26 18:19:24,Residential,86,43,,0.9999
2026-01-26 18:19:24,Residential,89,45,,1.0001
2026-01-26 18:19:24,Residential,92,46,,1.0001
2026-01-26 18:19:25,Residential,94,47,,1.0002
2026-01-26 18:19:25,Residential,97,49,,1.0001
2026-01-26 18:19:25,Residential,100,50,,0.9999
2026-01-26 18:19:25,Residential,103,52,,0.9999
2026-01-26 18:19:27,Residential,25,13,,1.0003
2026-01-26 18:19:27,Residential,27,14,,0.9983
2026-01-26 18:19:27,Residential,30,15,,0.9952
2026-01-26 18:19:27,Residential,33,17,,0.9990
2026-01-26 18:19:27,Residential,35,18,,0.9993
2026-01-26 18:19:27,Residential,38,19,,0.9983
2026-01-26 18:19:27,Residential,41,21,,1.0000
2026-01-26 18:19:27,Residential,43,22,,1.0002
2026-01-26 18:19:27,Residential,46,23,,0.9991
2026-01-26 18:19:27,Residential,49,25,,0.9981
2026-01-26 18:19:28,Residential,51,26,,1.0002
2026-01-26 18:19:28,Residential,54,27,,0.9975
2026-01-26 18:19:28,Residential,57,29,,1.0006
2026-01-26 18:19:28,Residential,59,30,,0.9998
2026-01-26 18:19:28,Residential,62,31,,1.0002
2026-01-26 18:19:28,Residential,65,33,,0.9995
2026-01-26 18:19:28,Residential,68,34,,0.9996
2026-01-26 18:19:28,Residential,70,35,,1.0001
2026-01-26 18:19:28,Residential,73,37,,0.9998
2026-01-26 18:19:28,Residential,76,38,,1.0000
2026-01-26 18:19:29,Residential,78,39,,0.9999
2026-01-26 18:19:29,Residential,81,41,,1.0002
2026-01-26 18:19:29,Residential,84,42,,1.0002
2026-01-26 18:19:29,Residential,86,43,,0.9999
2026-01-26 18:19:29,Residential,89,45,,1.0001
2026-01-26 18:19:29,Residential,92,46,,0.9999
2026-01-26 18:19:30,Residential,94,47,,0.9999
2026-01-26 18:19:30,Residential,97,49,,1.0002
2026-01-26 18:19:30,Residential,100,50,,1.0000
2026-01-26 18:19:30,Residential,103,52,,1.0001
2026-01-26 18:19:32,Residential,25,13,,0.9960
2026-01-26 18:19:32,Residential,27,14,,1.0014
2026-01-26 18:19:32,Residential,30,15,,0.9989
2026-01-26 18:19:32,Residential,33,17,,0.9994
2026-01-26 18:19:32,Residential,35,18,,0.9994
2026-01-26 18:19:32,Residential,38,19,,1.0003
2026-01-26 18:19:32,Residential,41,21,,0.9991
2026-01-26 18:19:32,Residential,43,22,,1.0004
2026-01-26 18:19:32,Residential,46,23,,0.9990
2026-01-26 18:19:32,Residential,49,25,,0.9995
2026-01-26 18:19:32,Residential,51,26,,0.9997
2026-01-26 18:19:32,Residential,54,27,,0.9994
2026-01-26 18:19:33,Residential,57,29,,0.9992
2026-01-26 18:19:33,Residential,59,30,,0.9993
2026-01-26 18:19:33,Residential,62,31,,0.9999
2026-01-26 18:19:33,Residential,65,33,,0.9995
2026-01-26 18:19:33,Residential,68,34,,1.0001
2026-01-26 18:19:33,Residential,70,35,,1.0004
2026-01-26 18:19:33,Residential,73,37,,0.9999
2026-01-26 18:19:33,Residential,76,38,,1.0000
2026-01-26 18:19:33,Residential,78,39,,1.0004
2026-01-26 18:19:34,Residential,81,41,,0.9999
2026-01-26 18:19:34,Residential,84,42,,1.0000
2026-01-26 18:19:34,Residential,86,43,,0.9998
2026-01-26 18:19:34,Residential,89,45,,1.0000
2026-01-26 18:19:34,Residential,92,46,,1.0000
2026-01-26 18:19:34,Residential,94,47,,0.9999
2026-01-26 18:19:35,Residential,97,49,,1.0001
