Timestamp,Dataset,p,Critical_k,Speedup_At_k,Ratio
2026-04-12 17:28:56,Synthetic_high_corr_p25,25,13,0.0633,0.9999
2026-04-12 17:28:56,Synthetic_high_corr_p25,25,19,0.0447,1.0000
2026-04-12 17:28:56,Synthetic_high_corr_p25,25,22,0.0427,1.0000
2026-04-12 17:28:56,Synthetic_high_corr_p25,25,24,0.0404,1.0000
2026-04-12 17:28:56,Synthetic_high_corr_p25,25,25,0.0388,1.0000
2026-04-12 17:28:57,Synthetic_high_corr_p32,32,16,0.0515,0.9998
2026-04-12 17:28:57,Synthetic_high_corr_p32,32,24,0.1047,1.0000
2026-04-12 17:28:57,Synthetic_high_corr_p32,32,28,0.0610,1.0000
2026-04-12 17:28:57,Synthetic_high_corr_p32,32,30,0.0590,1.0000
2026-04-12 17:28:57,Synthetic_high_corr_p32,32,31,0.0568,1.0000
2026-04-12 17:28:57,Synthetic_high_corr_p32,32,32,0.0552,1.0000
2026-04-12 17:28:57,Synthetic_high_corr_p40,40,20,0.0866,0.9998
2026-04-12 17:28:58,Synthetic_high_corr_p40,40,30,0.0857,1.0001
2026-04-12 17:28:58,Synthetic_high_corr_p40,40,35,0.0813,1.0000
2026-04-12 17:28:58,Synthetic_high_corr_p40,40,38,0.0781,0.9999
2026-04-12 17:28:58,Synthetic_high_corr_p40,40,39,0.0775,1.0000
2026-04-12 17:28:58,Synthetic_high_corr_p40,40,40,0.0765,1.0000
2026-04-12 17:28:58,Synthetic_high_corr_p48,48,24,0.1113,0.9997
2026-04-12 17:28:59,Synthetic_high_corr_p48,48,36,0.1123,1.0000
2026-04-12 17:28:59,Synthetic_high_corr_p48,48,42,0.1076,1.0000
2026-04-12 17:28:59,Synthetic_high_corr_p48,48,45,0.1049,1.0000
2026-04-12 17:28:59,Synthetic_high_corr_p48,48,47,0.1003,1.0000
2026-04-12 17:29:00,Synthetic_high_corr_p48,48,48,0.0997,1.0000
2026-04-12 17:29:00,Synthetic_high_corr_p56,56,28,0.1394,0.9998
2026-04-12 17:29:00,Synthetic_high_corr_p56,56,42,0.1398,0.9999
2026-04-12 17:29:00,Synthetic_high_corr_p56,56,49,0.1358,1.0000
2026-04-12 17:29:01,Synthetic_high_corr_p56,56,53,0.1374,1.0000
2026-04-12 17:29:01,Synthetic_high_corr_p56,56,55,0.1391,1.0000
2026-04-12 17:29:01,Synthetic_high_corr_p56,56,56,0.1389,1.0000
2026-04-12 17:29:02,Synthetic_high_corr_p63,63,32,0.1625,0.9999
2026-04-12 17:29:02,Synthetic_high_corr_p63,63,48,0.1668,1.0000
2026-04-12 17:29:02,Synthetic_high_corr_p63,63,56,0.1810,1.0000
2026-04-12 17:29:02,Synthetic_high_corr_p63,63,60,0.1866,1.0000
2026-04-12 17:29:03,Synthetic_high_corr_p63,63,62,0.1885,1.0000
2026-04-12 17:29:03,Synthetic_high_corr_p63,63,63,0.1961,1.0000
2026-04-12 17:29:03,Synthetic_high_corr_p71,71,36,0.1944,0.9998
2026-04-12 17:29:04,Synthetic_high_corr_p71,71,54,0.2175,0.9999
2026-04-12 17:29:04,Synthetic_high_corr_p71,71,63,0.2429,1.0000
2026-04-12 17:29:04,Synthetic_high_corr_p71,71,67,0.2513,1.0000
2026-04-12 17:29:05,Synthetic_high_corr_p71,71,69,0.2539,1.0000
2026-04-12 17:29:05,Synthetic_high_corr_p71,71,70,0.2561,1.0000
2026-04-12 17:29:05,Synthetic_high_corr_p71,71,71,0.2584,1.0000
2026-04-12 17:29:06,Synthetic_high_corr_p79,79,40,0.2227,0.9999
2026-04-12 17:29:06,Synthetic_high_corr_p79,79,60,0.2845,1.0000
2026-04-12 17:29:06,Synthetic_high_corr_p79,79,70,0.3208,1.0000
2026-04-12 17:29:07,Synthetic_high_corr_p79,79,75,0.3360,1.0000
2026-04-12 17:29:07,Synthetic_high_corr_p79,79,77,0.3374,1.0000
2026-04-12 17:29:08,Synthetic_high_corr_p79,79,78,0.3424,1.0000
