experiment_name,k,steps,samples,alpha,g_obj,fw_obj,g_time,fw_time,dataset_name,p,ratio,speedupx
sniper_k2_a0.2_m50,2,1000,50,0.2,32.45242825018083,29.90140894984904,0.015304088592529297,3.0642950534820557,arrhythmia,262,0.9213920363473086,0.004994326044138203
sniper_k5_a0.2_m50,5,1000,50,0.2,60.99841307199936,56.223333470930115,0.04069042205810547,3.0537655353546143,arrhythmia,262,0.9217179700161545,0.01332467132365496
sniper_k7_a0.2_m50,7,1000,50,0.2,74.43181915404475,71.58676249486881,0.0578455924987793,3.0527143478393555,arrhythmia,262,0.9617763385134013,0.01894890445276059
sniper_k10_a0.2_m50,10,1000,50,0.2,91.10350151833438,87.81115701984692,0.08496856689453125,3.0528228282928467,arrhythmia,262,0.9638614933167537,0.027832786792296782
sniper_k13_a0.2_m50,13,1000,50,0.2,104.40455039498696,102.38817776872465,0.11513066291809082,3.057535409927368,arrhythmia,262,0.9806869277379779,0.03765472757708005
sniper_k15_a0.2_m50,15,1000,50,0.2,111.37331032285884,106.91368461802497,0.1363692283630371,3.055985689163208,arrhythmia,262,0.9599578598148344,0.04462364756700737
sniper_k18_a0.2_m50,18,1000,50,0.2,121.13671553877234,115.61050173927516,0.16922640800476074,3.0517020225524902,arrhythmia,262,0.9543803563195636,0.055453123127407175
sniper_k20_a0.2_m50,20,1000,50,0.2,126.92946856000209,123.4465251722326,0.19367671012878418,3.0521767139434814,arrhythmia,262,0.9725600096866155,0.06345527414713464
sniper_k23_a0.2_m50,23,1000,50,0.2,134.7721119593082,130.00910129039414,0.2336735725402832,3.0529778003692627,arrhythmia,262,0.9646587814075944,0.07653955836561274
sniper_k26_a0.2_m50,26,1000,50,0.2,141.57905152782342,138.6674531714565,0.2756946086883545,3.0534849166870117,arrhythmia,262,0.9794348222781055,0.09028851172039824
sniper_k28_a0.2_m50,28,1000,50,0.2,145.99486915413144,140.58351489033953,0.30718541145324707,3.0580198764801025,arrhythmia,262,0.9629346271198136,0.10045239202527002
sniper_k31_a0.2_m50,31,1000,50,0.2,152.45136045202304,145.9213847543487,0.3552672863006592,3.0540945529937744,arrhythmia,262,0.9571668256792675,0.11632491402481585
sniper_k34_a0.2_m50,34,1000,50,0.2,158.78365061417398,150.9964182154548,0.4093914031982422,3.0538415908813477,arrhythmia,262,0.9509569633359719,0.13405783863205906
sniper_k36_a0.2_m50,36,1000,50,0.2,162.87982870524633,156.047238290192,0.44879937171936035,3.057337760925293,arrhythmia,262,0.9580513408605136,0.1467941741521986
sniper_k39_a0.2_m50,39,1000,50,0.2,168.47439234940154,162.5832139913133,0.5087857246398926,3.057563543319702,arrhythmia,262,0.9650322029601363,0.16640233880061456
sniper_k41_a0.2_m50,41,1000,50,0.2,171.89350637238965,167.15305208827067,0.55576491355896,3.0575523376464844,arrhythmia,262,0.9724221444767711,0.18176791504630582
sniper_k44_a0.2_m50,44,1000,50,0.2,176.8306845376895,170.77193556273065,0.6284253597259521,3.0571136474609375,arrhythmia,262,0.965737004350806,0.2055616611596648
sniper_k47_a0.2_m50,47,1000,50,0.2,181.4930793941068,175.61692618087002,0.7037739753723145,3.0702359676361084,arrhythmia,262,0.9676232656757293,0.22922471848773787
sniper_k49_a0.2_m50,49,1000,50,0.2,184.38617925620898,181.0280137041822,0.7572553157806396,3.049955368041992,arrhythmia,262,0.9817873250285178,0.2482840646506843
sniper_k52_a0.2_m50,52,1040,50,0.2,188.6109917148279,183.87914665626093,0.852393388748169,3.171706438064575,arrhythmia,262,0.9749121458110919,0.26874914352676116
sniper_k55_a0.2_m50,55,1100,50,0.2,192.5266973634825,188.80617701310706,0.9503421783447266,3.357027769088745,arrhythmia,262,0.9806753016525742,0.2830903536441982
sniper_k57_a0.2_m50,57,1140,50,0.2,195.02763869541954,191.1273937750896,1.0169780254364014,3.4809799194335938,arrhythmia,262,0.9800015785125662,0.29215279862972565
sniper_k60_a0.2_m50,60,1200,50,0.2,198.60953693915906,194.9872618014187,1.1257922649383545,3.6693968772888184,arrhythmia,262,0.9817618267805036,0.30680580558245873
sniper_k62_a0.2_m50,62,1240,50,0.2,200.8986372876359,197.64652493006523,1.2076241970062256,3.7846059799194336,arrhythmia,262,0.9838121731362743,0.31908848725962574
sniper_k65_a0.2_m50,65,1300,50,0.2,204.1724011747614,200.40591971470158,1.3361682891845703,3.9971225261688232,arrhythmia,262,0.9815524456861537,0.3342825446147296
sniper_k5_a0.2_m50,5,1000,50,0.2,20.5390529694886,19.182584676871596,0.08418583869934082,9.355446338653564,madelon,500,0.9339566291283206,0.008998591371478792
sniper_k10_a0.2_m50,10,1000,50,0.2,26.5776038897911,26.310123287774115,0.17538928985595703,9.60544753074646,madelon,500,0.9899358646804226,0.018259356401099113
sniper_k15_a0.2_m50,15,1000,50,0.2,32.57902330734939,32.162380080656355,0.2880542278289795,9.646595478057861,madelon,500,0.9872113039497091,0.02986071391551428
sniper_k20_a0.2_m50,20,1000,50,0.2,38.546288188542555,38.390904811464644,0.41608119010925293,9.570274114608765,madelon,500,0.9959689146639003,0.04347641301873645
sniper_k25_a0.2_m50,25,1000,50,0.2,44.4892090594587,44.12567610198574,0.567882776260376,9.504804611206055,madelon,500,0.9918287385827177,0.05974691742646122
sniper_k30_a0.2_m50,30,1000,50,0.2,50.40877828411637,50.06368358856694,0.7365398406982422,9.510383367538452,madelon,500,0.9931540753952736,0.07744586229954249
sniper_k34_a0.2_m50,34,1000,50,0.2,55.12655923177866,54.696101991276514,0.8887252807617188,9.544307470321655,madelon,500,0.992191472740167,0.09311574292060895
sniper_k40_a0.2_m50,40,1000,50,0.2,62.170217748995036,61.53823748153417,1.1519579887390137,9.43317723274231,madelon,500,0.9898346782375379,0.12211770862743868
sniper_k45_a0.2_m50,45,1000,50,0.2,68.00884832458348,67.52908353020116,1.4201300144195557,9.488245248794556,madelon,500,0.9929455533184071,0.14967256612596283
sniper_k49_a0.2_m50,49,1000,50,0.2,72.66315257363743,71.99131606941569,1.6583104133605957,9.469436407089233,madelon,500,0.9907540963965071,0.17512239821570713
sniper_k55_a0.2_m50,55,1100,50,0.2,79.62013378917,78.77671078822357,2.073410987854004,10.361214637756348,madelon,500,0.9894069130406165,0.20011273391620302
sniper_k60_a0.2_m50,60,1200,50,0.2,85.39252416525392,83.30618019686479,2.4475677013397217,11.239923238754272,madelon,500,0.9755676039702073,0.21775662069476795
