Timestamp,Dataset,p,Final_Critical_k,Speedup_At_k,Ratio,Steps,Samples,Run_ID
2026-02-02 15:51:15,Myocardial,25,13,0.08197493419558276,0.9969794033526979,260,50,0
2026-02-02 15:51:16,Myocardial,27,14,0.05220313503415261,0.9848400918743652,280,50,0
2026-02-02 15:51:16,Myocardial,30,15,0.05914288009425374,0.9774912480662353,300,50,0
2026-02-02 15:51:17,Myocardial,33,17,0.06711807891427067,0.9793681524392301,340,50,0
2026-02-02 15:51:18,Myocardial,36,18,0.07432067758570016,0.9739218099650975,360,50,0
2026-02-02 15:51:19,Myocardial,39,20,0.08222312361400892,0.9801206204010656,400,50,0
2026-02-02 15:51:20,Myocardial,42,21,0.09225187085438993,0.9902526478349167,420,50,0
2026-02-02 15:51:22,Myocardial,45,34,0.10206954827394031,0.9885511431221686,680,50,0
2026-02-02 15:51:23,Myocardial,48,36,0.11207859128438823,0.9930104756703425,720,50,0
2026-02-02 15:51:24,Myocardial,51,39,0.11666922768534362,1.00011168559039,780,50,0
2026-02-02 15:51:26,Myocardial,54,41,0.13004349883927968,0.997289417114711,820,50,0
2026-02-02 15:51:28,Myocardial,57,57,0.14413213945832057,1.0000000000000002,1000,50,0
2026-02-02 15:51:29,Myocardial,60,60,0.16670335280895593,0.9999999999999987,1000,50,0
2026-02-02 15:51:31,Myocardial,63,60,0.18905867293955755,1.0009777763450578,1000,50,0
2026-02-02 15:51:33,Myocardial,66,65,0.2073403846357317,1.0000000000000002,1000,50,0
2026-02-02 15:51:35,Myocardial,69,67,0.23571955680794573,1.0004379785793636,1000,50,0
2026-02-02 15:51:38,Myocardial,72,72,0.27193396710674905,1.0000000000000002,1000,50,0
2026-02-02 15:51:40,Myocardial,75,75,0.29327885432394857,1.0000000000000016,1000,50,0
2026-02-02 15:51:43,Myocardial,78,77,0.3313632471357098,1.0000049183583715,1000,50,0
2026-02-02 15:51:45,Myocardial,81,80,0.37059437000103873,1.0000209544317844,1000,50,0
2026-02-02 15:51:48,Myocardial,84,84,0.4035878552802275,1.0,1000,50,0
2026-02-02 15:51:51,Myocardial,87,87,0.4334077040005309,1.0000000000000002,1000,50,0
2026-02-02 15:51:54,Myocardial,90,90,0.48630139162988173,1.0000000000000009,1000,50,0
2026-02-02 15:51:57,Myocardial,93,93,0.5423706927774401,1.0000000000000002,1000,50,0
2026-02-02 15:52:00,Myocardial,96,96,0.5902646397826252,0.9999999999999992,1000,50,0
2026-02-02 15:52:04,Myocardial,99,98,0.6439168445458273,1.000002045846081,1000,50,0
2026-02-02 15:52:07,Myocardial,102,102,0.7107173705699339,1.000000000000001,1000,50,0
2026-02-02 15:52:11,Myocardial,105,102,0.7476525751578621,1.000104265816189,1000,50,0
2026-02-02 15:52:15,Myocardial,108,105,0.8364219442148728,1.0012249176645494,1000,50,0
2026-02-02 15:52:19,Myocardial,111,111,0.8910926598453911,1.0000000000000007,1000,50,0
2026-02-02 15:52:19,Myocardial,25,13,0.04820459076331487,0.983983684875323,260,50,1
2026-02-02 15:52:20,Myocardial,27,14,0.052316343640397445,0.9830428015256902,280,50,1
2026-02-02 15:52:20,Myocardial,30,15,0.05904574605098051,0.9706816110008203,300,50,1
2026-02-02 15:52:21,Myocardial,33,17,0.0664354586240406,0.996137389631787,340,50,1
2026-02-02 15:52:22,Myocardial,36,18,0.0740449941450411,0.9936879904021111,360,50,1
2026-02-02 15:52:23,Myocardial,39,20,0.08259103022771513,0.9931190936887632,400,50,1
2026-02-02 15:52:24,Myocardial,42,32,0.08983602976231769,0.9930946062775448,640,50,1
2026-02-02 15:52:26,Myocardial,45,34,0.10044464920179536,0.9984380346447284,680,50,1
2026-02-02 15:52:27,Myocardial,48,36,0.11244154341456097,0.9918599187154282,720,50,1
2026-02-02 15:52:29,Myocardial,51,39,0.11868500479530625,0.9948349637581807,780,50,1
2026-02-02 15:52:30,Myocardial,54,41,0.12905168298978184,0.9947051705068538,820,50,1
2026-02-02 15:52:32,Myocardial,57,56,0.14287173118056992,0.9998840506701528,1000,50,1
2026-02-02 15:52:33,Myocardial,60,59,0.1633051268197947,1.000063642440089,1000,50,1
2026-02-02 15:52:35,Myocardial,63,60,0.18545453571648549,0.9989005853905992,1000,50,1
2026-02-02 15:52:37,Myocardial,66,64,0.21129698819221937,1.000004608018255,1000,50,1
2026-02-02 15:52:40,Myocardial,69,68,0.23985626919093095,1.0006046580216292,1000,50,1
2026-02-02 15:52:42,Myocardial,72,72,0.268157508485061,1.0000000000000002,1000,50,1
2026-02-02 15:52:44,Myocardial,75,73,0.29828300769686206,1.0005530524179462,1000,50,1
2026-02-02 15:52:47,Myocardial,78,77,0.3313508387716224,1.0001324087998158,1000,50,1
2026-02-02 15:52:50,Myocardial,81,81,0.36618077101902646,1.0000000000000004,1000,50,1
2026-02-02 15:52:52,Myocardial,84,83,0.39686419453836913,1.00000354407269,1000,50,1
2026-02-02 15:52:55,Myocardial,87,87,0.44251799358305033,1.0000000000000004,1000,50,1
2026-02-02 15:52:58,Myocardial,90,85,0.48724033893025337,1.0000716727320578,1000,50,1
2026-02-02 15:53:01,Myocardial,93,88,0.5313036253170845,1.0006580676788575,1000,50,1
2026-02-02 15:53:05,Myocardial,96,96,0.5897624420452224,0.9999999999999996,1000,50,1
2026-02-02 15:53:08,Myocardial,99,99,0.6227282715425242,1.0000000000000004,1000,50,1
2026-02-02 15:53:11,Myocardial,102,101,0.7002039882344554,1.0000035726007854,1000,50,1
2026-02-02 15:53:15,Myocardial,105,105,0.7658204660057798,0.9999999999999996,1000,50,1
2026-02-02 15:53:19,Myocardial,108,108,0.8325696419798762,0.9999999999999987,1000,50,1
2026-02-02 15:53:23,Myocardial,111,108,0.8953954236485718,1.0000985845242418,1000,50,1
2026-02-02 15:53:24,Myocardial,25,13,0.04911602059440464,0.9876936909516104,260,50,2
2026-02-02 15:53:24,Myocardial,27,14,0.053100406783858294,0.9904964488586249,280,50,2
2026-02-02 15:53:25,Myocardial,30,15,0.06041393407716549,0.9934590549412577,300,50,2
2026-02-02 15:53:26,Myocardial,33,17,0.06685121346232425,0.9639858608912825,340,50,2
2026-02-02 15:53:27,Myocardial,36,18,0.07437925609742682,0.9936225596734521,360,50,2
2026-02-02 15:53:28,Myocardial,39,20,0.08345254663866973,0.9954928366420909,400,50,2
2026-02-02 15:53:29,Myocardial,42,21,0.09088539970030621,0.9727347490891319,420,50,2
2026-02-02 15:53:30,Myocardial,45,34,0.10183875530410184,0.9882128027686937,680,50,2
2026-02-02 15:53:31,Myocardial,48,36,0.11252968140308964,0.9943507152541846,720,50,2
2026-02-02 15:53:33,Myocardial,51,39,0.11855679224249288,0.993434427767809,780,50,2
2026-02-02 15:53:34,Myocardial,54,41,0.12882721915137563,0.9983957138358575,820,50,2
2026-02-02 15:53:36,Myocardial,57,57,0.14414522047842546,1.0000000000000002,1000,50,2
2026-02-02 15:53:38,Myocardial,60,60,0.16409572934238795,1.0000000000000007,1000,50,2
2026-02-02 15:53:39,Myocardial,63,63,0.18552107111226135,1.0000000000000007,1000,50,2
2026-02-02 15:53:42,Myocardial,66,65,0.2065345385907493,1.0004071533021726,1000,50,2
2026-02-02 15:53:44,Myocardial,69,69,0.23523240738115428,0.9999999999999992,1000,50,2
2026-02-02 15:53:46,Myocardial,72,72,0.2698494030948307,1.0000000000000002,1000,50,2
2026-02-02 15:53:49,Myocardial,75,75,0.2953142443920273,0.9999999999999997,1000,50,2
2026-02-02 15:53:51,Myocardial,78,78,0.33228910594664646,0.9999999999999998,1000,50,2
2026-02-02 15:53:54,Myocardial,81,80,0.36590360162866836,1.000133037992743,1000,50,2
2026-02-02 15:53:57,Myocardial,84,84,0.4019620242178065,1.0000000000000002,1000,50,2
2026-02-02 15:53:59,Myocardial,87,87,0.4423932429032883,1.0000000000000007,1000,50,2
2026-02-02 15:54:02,Myocardial,90,90,0.4869602014730099,0.999999999999999,1000,50,2
2026-02-02 15:54:06,Myocardial,93,91,0.5278231494103005,1.000003994937461,1000,50,2
2026-02-02 15:54:09,Myocardial,96,93,0.599347029143036,1.0001127177338303,1000,50,2
2026-02-02 15:54:12,Myocardial,99,98,0.6509257739289551,1.000003309774521,1000,50,2
2026-02-02 15:54:16,Myocardial,102,102,0.7084834805919101,1.0,1000,50,2
2026-02-02 15:54:19,Myocardial,105,105,0.7535642541205735,1.0000000000000013,1000,50,2
2026-02-02 15:54:23,Myocardial,108,108,0.8330975997761292,1.0000000000000004,1000,50,2
2026-02-02 15:54:27,Myocardial,111,108,0.8840274872931821,1.0000982050144538,1000,50,2
