Timestamp,Dataset,p,Final_Critical_k,Speedup_At_k,Ratio,Steps,Samples,Run_ID
2026-02-02 15:45:44,Arrhythmia,25,13,0.05114670898546058,0.9792736007174795,260,50,0
2026-02-02 15:45:44,Arrhythmia,33,17,0.06736688465005795,0.9867517740332062,340,50,0
2026-02-02 15:45:46,Arrhythmia,41,21,0.08827013112980545,0.9988705159004521,420,50,0
2026-02-02 15:45:47,Arrhythmia,49,37,0.11183884325622286,1.0032276148585142,740,50,0
2026-02-02 15:45:49,Arrhythmia,57,56,0.14425787658323613,1.000043335461028,1000,50,0
2026-02-02 15:45:51,Arrhythmia,65,64,0.1966098544238759,1.000144045086615,1000,50,0
2026-02-02 15:45:53,Arrhythmia,74,72,0.2986050658711858,1.000065387642974,1000,50,0
2026-02-02 15:45:56,Arrhythmia,82,80,0.358987733356953,1.0000261064997766,1000,50,0
2026-02-02 15:45:59,Arrhythmia,90,88,0.46601809269112715,1.0000457666080345,1000,50,0
2026-02-02 15:46:02,Arrhythmia,98,98,0.5879409672366782,1.0000000000020886,1000,50,0
2026-02-02 15:46:06,Arrhythmia,106,106,0.7417757489645999,0.999999999999998,1000,50,0
2026-02-02 15:46:10,Arrhythmia,114,111,0.9132467218438325,1.0000956306934532,1000,50,0
2026-02-02 15:46:13,Arrhythmia,123,100,0.9760274763616918,1.0027062784756706,1000,50,0
2026-02-02 15:46:14,Arrhythmia,131,99,1.0379982997037764,1.0025976894959212,1000,50,0
2026-02-02 15:46:18,Arrhythmia,139,91,1.0105549889555712,1.0044480221044743,1000,50,0
2026-02-02 15:46:22,Arrhythmia,147,87,1.0320302065300966,1.0006517892043256,1000,50,0
2026-02-02 15:46:26,Arrhythmia,155,82,0.9728951582886024,0.9972254313616847,1000,50,0
2026-02-02 15:46:27,Arrhythmia,163,82,1.0287540050030222,0.9993292693468991,1000,50,0
2026-02-02 15:46:30,Arrhythmia,172,80,1.0393998422276352,0.9984902188685348,1000,50,0
2026-02-02 15:46:34,Arrhythmia,180,78,1.0196204840790206,0.9917070304081524,1000,50,0
2026-02-02 15:46:38,Arrhythmia,188,76,1.0149576229250328,0.9918254419627941,1000,50,0
2026-02-02 15:46:41,Arrhythmia,196,73,0.9641157344763168,0.9899672181867379,1000,50,0
2026-02-02 15:46:44,Arrhythmia,204,76,1.0496815143216214,0.9928698512048825,1000,50,0
2026-02-02 15:46:49,Arrhythmia,212,72,0.9825407735119188,0.9900182820028073,1000,50,0
2026-02-02 15:46:55,Arrhythmia,221,72,0.9916336066759303,0.9835573809465664,1000,50,0
2026-02-02 15:47:00,Arrhythmia,229,71,0.9527758148623624,0.9897758237040101,1000,50,0
2026-02-02 15:47:06,Arrhythmia,237,74,1.0468755872833007,0.99000947036672,1000,50,0
2026-02-02 15:47:14,Arrhythmia,245,72,1.0124228797507446,0.9870322793828137,1000,50,0
2026-02-02 15:47:21,Arrhythmia,253,71,0.9592984236999696,0.9878142614066389,1000,50,0
2026-02-02 15:47:32,Arrhythmia,262,71,1.0046672631485485,0.9849138511067346,1000,50,0
2026-02-02 15:47:32,Arrhythmia,25,13,0.04818194731851146,0.9528948350121378,260,50,1
2026-02-02 15:47:33,Arrhythmia,33,17,0.0675801583032804,0.9898742784464306,340,50,1
2026-02-02 15:47:34,Arrhythmia,41,31,0.08786002014870789,1.0031933607997894,620,50,1
2026-02-02 15:47:35,Arrhythmia,49,37,0.11244355048177367,1.003652972443622,740,50,1
2026-02-02 15:47:37,Arrhythmia,57,57,0.14080653859177336,0.9999999999999971,1000,50,1
2026-02-02 15:47:39,Arrhythmia,65,63,0.1979995678078597,1.0000966853896196,1000,50,1
2026-02-02 15:47:42,Arrhythmia,74,74,0.2766440138869555,1.000000000000002,1000,50,1
2026-02-02 15:47:44,Arrhythmia,82,82,0.35950096532651515,1.0000000000000009,1000,50,1
2026-02-02 15:47:47,Arrhythmia,90,90,0.46692889604786286,0.9999999999999857,1000,50,1
2026-02-02 15:47:51,Arrhythmia,98,98,0.5902033099259997,1.000000007386029,1000,50,1
2026-02-02 15:47:54,Arrhythmia,106,105,0.7461769314449009,1.0000000367405741,1000,50,1
2026-02-02 15:47:58,Arrhythmia,114,114,0.9143747514370789,1.0000000000000013,1000,50,1
2026-02-02 15:48:01,Arrhythmia,123,100,0.9750329465405957,1.001718337024413,1000,50,1
2026-02-02 15:48:02,Arrhythmia,131,99,1.0438822592630503,1.0025125189075366,1000,50,1
2026-02-02 15:48:06,Arrhythmia,139,91,1.0113909069250266,1.0031703701287262,1000,50,1
2026-02-02 15:48:10,Arrhythmia,147,87,1.0008583542034255,1.0040661167694898,1000,50,1
2026-02-02 15:48:14,Arrhythmia,155,82,0.9860969117020093,0.9990219279016309,1000,50,1
2026-02-02 15:48:15,Arrhythmia,163,82,1.0147068852798278,0.999371001620702,1000,50,1
2026-02-02 15:48:19,Arrhythmia,172,80,1.0391036732906844,0.9956738353507822,1000,50,1
2026-02-02 15:48:22,Arrhythmia,180,78,1.0341024478873573,0.9972207589539451,1000,50,1
2026-02-02 15:48:26,Arrhythmia,188,76,1.0415247239429934,0.997766463546713,1000,50,1
2026-02-02 15:48:29,Arrhythmia,196,73,0.9737925399033246,0.9917805059958531,1000,50,1
2026-02-02 15:48:32,Arrhythmia,204,76,1.0376091067135342,0.99143138399304,1000,50,1
2026-02-02 15:48:37,Arrhythmia,212,72,0.9805731370406052,0.9955932516978137,1000,50,1
2026-02-02 15:48:44,Arrhythmia,221,72,0.961090770115249,0.9883495089299122,1000,50,1
2026-02-02 15:48:49,Arrhythmia,229,71,0.9819936396130718,0.9860851712382688,1000,50,1
2026-02-02 15:48:54,Arrhythmia,237,74,1.0466103246596985,0.983342817764994,1000,50,1
2026-02-02 15:49:02,Arrhythmia,245,72,1.0059515221160815,0.9878844674965922,1000,50,1
2026-02-02 15:49:09,Arrhythmia,253,71,0.9878367316888153,0.9856970772640876,1000,50,1
2026-02-02 15:49:18,Arrhythmia,262,73,1.04642613813061,0.9863576093110755,1000,50,1
2026-02-02 15:49:18,Arrhythmia,25,13,0.04865299094050406,0.9918489683151722,260,50,2
2026-02-02 15:49:19,Arrhythmia,33,17,0.06612616003822154,0.9886551535650168,340,50,2
2026-02-02 15:49:20,Arrhythmia,41,21,0.08795228879640314,0.982464252794557,420,50,2
2026-02-02 15:49:21,Arrhythmia,49,37,0.11343826558211413,1.003543180141679,740,50,2
2026-02-02 15:49:23,Arrhythmia,57,43,0.14171140207876895,1.0070055629947763,860,50,2
2026-02-02 15:49:25,Arrhythmia,65,63,0.19593970600229957,1.0004206667591595,1000,50,2
2026-02-02 15:49:28,Arrhythmia,74,74,0.27880723383712724,0.9999999999999998,1000,50,2
2026-02-02 15:49:30,Arrhythmia,82,82,0.3600253261728938,0.9999999999999966,1000,50,2
2026-02-02 15:49:33,Arrhythmia,90,89,0.46865328408644896,1.0000109165997222,1000,50,2
2026-02-02 15:49:37,Arrhythmia,98,97,0.5969755269619144,0.9999999999999992,1000,50,2
2026-02-02 15:49:40,Arrhythmia,106,103,0.737234823858027,1.0000012083890935,1000,50,2
2026-02-02 15:49:45,Arrhythmia,114,114,0.9356185021459513,1.0000000000000049,1000,50,2
2026-02-02 15:49:46,Arrhythmia,123,108,1.049785441330893,1.0003043530356697,1000,50,2
2026-02-02 15:49:50,Arrhythmia,131,94,1.0000370485133443,1.0026392029354423,1000,50,2
2026-02-02 15:49:52,Arrhythmia,139,87,0.9635283016174022,1.0060507275297779,1000,50,2
2026-02-02 15:49:56,Arrhythmia,147,87,1.0063219239586898,1.0015122753044288,1000,50,2
2026-02-02 15:50:00,Arrhythmia,155,82,0.9841744112903028,1.0019311206499182,1000,50,2
2026-02-02 15:50:01,Arrhythmia,163,82,1.0311318199571033,0.9980618380621146,1000,50,2
2026-02-02 15:50:05,Arrhythmia,172,80,1.0219677108718432,0.9951896189879278,1000,50,2
2026-02-02 15:50:08,Arrhythmia,180,78,1.011214298714928,0.9968518190377866,1000,50,2
2026-02-02 15:50:12,Arrhythmia,188,76,1.0230365751104806,0.9900907704294436,1000,50,2
2026-02-02 15:50:15,Arrhythmia,196,73,0.976962996075455,0.9915559857388923,1000,50,2
2026-02-02 15:50:20,Arrhythmia,204,72,0.9729843396697845,0.9901442601186408,1000,50,2
2026-02-02 15:50:26,Arrhythmia,212,72,0.9989176944121001,0.9916879566031316,1000,50,2
2026-02-02 15:50:32,Arrhythmia,221,72,0.9793618996201896,0.9893843674567167,1000,50,2
2026-02-02 15:50:37,Arrhythmia,229,71,0.9592128348270932,0.9924039843472631,1000,50,2
2026-02-02 15:50:46,Arrhythmia,237,72,1.0035713907975872,0.9839632530817453,1000,50,2
2026-02-02 15:50:54,Arrhythmia,245,72,1.0076173760645875,0.9870052743694311,1000,50,2
2026-02-02 15:51:01,Arrhythmia,253,71,0.9768475786928427,0.986687133379447,1000,50,2
2026-02-02 15:51:11,Arrhythmia,262,71,0.991166325069187,0.98376829432506,1000,50,2
2026-02-02 15:54:30,Mnist,25,13,0.0492752755599123,0.9705344015510035,260,50,0
2026-02-02 15:54:31,Mnist,46,35,0.10528788251811534,0.9977635881398497,700,50,0
2026-02-02 15:54:34,Mnist,67,65,0.21781325011585304,1.000693597838021,1000,50,0
2026-02-02 15:54:36,Mnist,88,86,0.476188886031904,0.9999551646682183,1000,50,0
2026-02-02 15:54:40,Mnist,109,106,0.8484648905992136,1.0002478312075644,1000,50,0
2026-02-02 15:54:43,Mnist,130,89,0.9671936812998781,1.0052466216292886,1000,50,0
2026-02-02 15:54:47,Mnist,152,80,1.020429236397034,0.9973415957579614,1000,50,0
2026-02-02 15:54:50,Mnist,173,76,0.9696392971828992,0.9944050737491923,1000,50,0
2026-02-02 15:54:56,Mnist,194,75,1.0466213980764372,0.9911357157027982,1000,50,0
2026-02-02 15:55:02,Mnist,215,70,0.9635399405010695,0.992550849779076,1000,50,0
2026-02-02 15:55:09,Mnist,236,69,0.9754199173265021,0.9804488056793375,1000,50,0
2026-02-02 15:55:18,Mnist,257,72,1.0159118196904964,0.9880965917163829,1000,50,0
2026-02-02 15:55:22,Mnist,279,70,0.9755070715930271,0.9799129294048761,1000,50,0
2026-02-02 15:55:33,Mnist,300,70,0.9886814298261958,0.9731851199194745,1000,50,0
2026-02-02 15:55:44,Mnist,321,70,0.9667058779136661,0.9785724026313195,1000,50,0
2026-02-02 15:55:57,Mnist,342,74,1.0475115965097808,0.9718536650864711,1000,50,0
2026-02-02 15:56:14,Mnist,363,73,1.0044888335194289,0.9772459989417767,1000,50,0
2026-02-02 15:56:30,Mnist,384,72,1.026625974781676,0.9804697180292462,1000,50,0
2026-02-02 15:56:48,Mnist,406,75,1.029538726294366,0.9768149370026179,1000,50,0
2026-02-02 15:57:18,Mnist,427,76,0.9998802354325151,0.9749325008801242,1000,50,0
2026-02-02 15:57:51,Mnist,448,73,1.0045551874223757,0.977192550630916,1000,50,0
2026-02-02 15:58:29,Mnist,469,75,0.9579878206789324,0.9823170412885471,1000,50,0
2026-02-02 15:59:07,Mnist,490,76,0.9715152295786658,0.9796128889233525,1000,50,0
2026-02-02 16:00:02,Mnist,511,82,1.0106341419267741,0.988564066773781,1000,50,0
2026-02-02 16:00:59,Mnist,533,78,0.9661148750822175,0.9810276487297935,1000,50,0
2026-02-02 16:02:03,Mnist,554,81,1.0070301393412728,0.9858603061982832,1000,50,0
2026-02-02 16:03:13,Mnist,575,81,1.0062545829885787,0.99082536156202,1000,50,0
2026-02-02 16:04:39,Mnist,596,80,0.9657786093145182,0.991113936083087,1000,50,0
2026-02-02 16:06:17,Mnist,617,83,0.978430326625971,0.9945346697030419,1000,50,0
2026-02-02 16:08:02,Mnist,639,85,1.0150414975886295,0.9894405005294294,1000,50,0
2026-02-02 16:08:02,Mnist,25,13,0.04901796402515821,0.9754443877281328,260,50,1
2026-02-02 16:08:03,Mnist,46,35,0.10646966778190005,1.000524341327874,700,50,1
2026-02-02 16:08:06,Mnist,67,65,0.2212923938213035,1.0004307420465777,1000,50,1
2026-02-02 16:08:09,Mnist,88,88,0.47295645054712143,1.0000000000000009,1000,50,1
2026-02-02 16:08:12,Mnist,109,109,0.8468682850865544,1.0000000000000004,1000,50,1
2026-02-02 16:08:15,Mnist,130,89,0.9679795272552649,1.003485316174718,1000,50,1
2026-02-02 16:08:19,Mnist,152,80,1.0230085771927788,0.9886777236253185,1000,50,1
2026-02-02 16:08:22,Mnist,173,76,0.9979541456772688,0.9897341451875581,1000,50,1
2026-02-02 16:08:25,Mnist,194,72,0.9501130085252414,0.9847872231912767,1000,50,1
2026-02-02 16:08:31,Mnist,215,70,0.9712616275754674,0.9758737652460566,1000,50,1
2026-02-02 16:08:39,Mnist,236,69,0.9561257295192248,0.98062371982231,1000,50,1
2026-02-02 16:08:47,Mnist,257,72,1.0086679436626786,0.9799372244557876,1000,50,1
2026-02-02 16:08:51,Mnist,279,70,0.9778525970854304,0.971637407011504,1000,50,1
2026-02-02 16:09:02,Mnist,300,70,1.0126818674913103,0.9822277385531868,1000,50,1
2026-02-02 16:09:13,Mnist,321,70,0.9732000682395954,0.9822601061547174,1000,50,1
2026-02-02 16:09:26,Mnist,342,74,1.0395374807476734,0.9758979621789585,1000,50,1
2026-02-02 16:09:43,Mnist,363,73,1.0197930843088725,0.9834896769097149,1000,50,1
2026-02-02 16:09:58,Mnist,384,72,1.0391799092547087,0.9829018690214109,1000,50,1
2026-02-02 16:10:17,Mnist,406,75,1.0269804154366997,0.9855914208437789,1000,50,1
2026-02-02 16:10:47,Mnist,427,76,1.001783360166212,0.9822034112843938,1000,50,1
2026-02-02 16:11:20,Mnist,448,73,0.997923553869945,0.9865929375887965,1000,50,1
2026-02-02 16:11:58,Mnist,469,75,0.9521604069244268,0.9961441331255055,1000,50,1
2026-02-02 16:12:45,Mnist,490,77,1.0038117513421478,0.9866516759973146,1000,50,1
2026-02-02 16:13:30,Mnist,511,80,0.9502890340915854,0.9898475867651815,1000,50,1
2026-02-02 16:14:26,Mnist,533,78,0.9660365137624342,0.9952901608595749,1000,50,1
2026-02-02 16:15:31,Mnist,554,81,1.0134370015019434,0.9938746857357508,1000,50,1
2026-02-02 16:16:40,Mnist,575,81,0.9961561618584919,0.9842820620163216,1000,50,1
2026-02-02 16:17:57,Mnist,596,83,1.0470206019621613,0.9943485363745879,1000,50,1
2026-02-02 16:19:34,Mnist,617,83,0.9770848134587794,0.9937135420293882,1000,50,1
2026-02-02 16:21:18,Mnist,639,85,0.9997985220811426,0.9883908795094415,1000,50,1
2026-02-02 16:21:19,Mnist,25,13,0.0489670795255988,0.9699824108458222,260,50,2
2026-02-02 16:21:20,Mnist,46,23,0.10156632654106817,0.984753758745953,460,50,2
2026-02-02 16:21:22,Mnist,67,66,0.233421020612804,1.0,1000,50,2
2026-02-02 16:21:26,Mnist,88,83,0.9435288954472021,1.0025882066965082,1000,50,2
2026-02-02 16:21:29,Mnist,109,109,0.8544576558001573,1.0000000000000013,1000,50,2
2026-02-02 16:21:32,Mnist,130,89,0.9588711383834109,1.0037620397448146,1000,50,2
2026-02-02 16:21:36,Mnist,152,80,1.0029242462247563,0.9925728884133881,1000,50,2
2026-02-02 16:21:39,Mnist,173,76,0.9666508284029472,0.9886778649918475,1000,50,2
2026-02-02 16:21:42,Mnist,194,72,0.9617979520181686,0.978035133195892,1000,50,2
2026-02-02 16:21:48,Mnist,215,70,0.9573383694572747,0.9801149575767566,1000,50,2
2026-02-02 16:21:56,Mnist,236,69,0.9866071285406883,0.9828742976038002,1000,50,2
2026-02-02 16:22:04,Mnist,257,72,1.0233179861556951,0.9854882029252809,1000,50,2
2026-02-02 16:22:08,Mnist,279,70,0.970622924780055,0.9803001526087688,1000,50,2
2026-02-02 16:22:19,Mnist,300,70,0.9916108205103753,0.9755886932829413,1000,50,2
2026-02-02 16:22:30,Mnist,321,70,0.9528889340301686,0.9763053169868428,1000,50,2
2026-02-02 16:22:43,Mnist,342,74,1.0372851545781143,0.9795493986167251,1000,50,2
2026-02-02 16:23:00,Mnist,363,73,1.0264208864672977,0.9691429564087799,1000,50,2
2026-02-02 16:23:15,Mnist,384,72,1.0266352745600815,0.977879353285205,1000,50,2
2026-02-02 16:23:34,Mnist,406,75,1.0238916060695924,0.9778397598694714,1000,50,2
2026-02-02 16:24:04,Mnist,427,76,0.9980911382875269,0.9801760558086817,1000,50,2
2026-02-02 16:24:36,Mnist,448,73,1.0046075761633695,0.9885158003369577,1000,50,2
2026-02-02 16:25:15,Mnist,469,75,0.9509750160264023,0.9863244947951828,1000,50,2
2026-02-02 16:26:02,Mnist,490,77,1.0065100917057836,0.9850885187377286,1000,50,2
2026-02-02 16:26:46,Mnist,511,80,0.9505869036596114,0.9872002245024929,1000,50,2
2026-02-02 16:27:42,Mnist,533,78,0.9624579285022797,0.9871522477622449,1000,50,2
2026-02-02 16:28:47,Mnist,554,81,1.0284677039179253,0.9900980003076616,1000,50,2
2026-02-02 16:29:55,Mnist,575,81,1.0030284916337409,0.9880413005641747,1000,50,2
2026-02-02 16:31:21,Mnist,596,80,0.9648487851487185,0.9900786757641922,1000,50,2
2026-02-02 16:32:58,Mnist,617,83,0.9856317500870979,0.9908976408502631,1000,50,2
2026-02-02 16:34:44,Mnist,639,85,1.0351558217264585,0.9903702606930862,1000,50,2
