Timestamp,Dataset,p,Experiment,k,Steps,Samples,Greedy_Obj,FW_Obj,Ratio,Greedy_Time_s,FW_Time_s,Speedup_x,Status
2026-01-27 19:44:15,Residential,103,dense_k,1,1000,1000,67.5649,67.5649,1.0000,0.0011,4.5381,0.0002,DONE
2026-01-27 19:44:20,Residential,103,dense_k,5,1000,1000,85.1335,75.2154,0.8835,0.0055,4.6572,0.0012,DONE
2026-01-27 19:44:24,Residential,103,dense_k,10,1000,1000,94.3341,92.0705,0.9760,0.0112,4.6085,0.0024,DONE
2026-01-27 19:44:29,Residential,103,dense_k,15,1000,1000,97.9338,97.1490,0.9920,0.0178,4.5811,0.0039,DONE
2026-01-27 19:44:34,Residential,103,dense_k,20,1000,1000,100.0077,98.9055,0.9890,0.0270,4.6205,0.0058,DONE
2026-01-27 19:45:34,Synthetic_toeplitz,500,dense_k,5,1000,1000,53.7072,53.1394,0.9894,0.0254,10.4013,0.0024,DONE
2026-01-27 19:45:45,Synthetic_toeplitz,500,dense_k,25,1000,1000,229.4117,225.5374,0.9831,0.2126,10.5215,0.0202,DONE
2026-01-27 19:45:56,Synthetic_toeplitz,500,dense_k,50,1000,1000,341.6739,340.7011,0.9972,0.6778,10.5152,0.0645,DONE
2026-01-27 19:46:13,Synthetic_toeplitz,500,dense_k,75,1500,1000,392.8627,392.9593,1.0002,1.5146,16.0075,0.0946,DONE
2026-01-27 19:46:37,Synthetic_toeplitz,500,dense_k,100,2000,1000,421.9598,421.1063,0.9980,2.8220,21.2364,0.1329,DONE
2026-01-27 19:50:44,Synthetic_high_corr,1000,dense_k,10,1000,1000,492.0728,54.7055,0.1112,0.1095,4.9208,0.0223,DONE
2026-01-27 19:51:10,Synthetic_high_corr,1000,dense_k,50,1000,1000,984.4457,982.6359,0.9982,1.4536,24.6751,0.0589,DONE
2026-01-27 19:52:06,Synthetic_high_corr,1000,dense_k,100,2000,1000,987.7535,987.2538,0.9995,6.2551,50.2502,0.1245,DONE
2026-01-27 19:52:54,Synthetic_high_corr,1000,dense_k,10,1000,1000,492.1467,102.7894,0.2089,0.1205,1.5776,0.0764,DONE
2026-01-27 19:53:03,Synthetic_high_corr,1000,dense_k,50,1000,1000,984.4347,983.2178,0.9988,1.3500,7.6622,0.1762,DONE
2026-01-27 19:53:26,Synthetic_high_corr,1000,dense_k,100,2000,1000,987.7155,986.9585,0.9992,6.2646,16.4028,0.3819,DONE
2026-01-27 19:53:52,Synthetic_high_corr,1000,dense_k,150,3000,1000,989.3246,988.9338,0.9996,16.2395,89.0684,0.1823,DONE
2026-01-27 19:54:05,Synthetic_high_corr,1000,dense_k,150,3000,1000,989.2862,988.9326,0.9996,17.1923,21.7521,0.7904,DONE
2026-01-27 19:55:16,Synthetic_high_corr,1000,dense_k,200,4000,1000,990.4598,990.2676,0.9998,37.7022,33.7086,1.1185,DONE
2026-01-27 19:56:25,Synthetic_high_corr,1000,dense_k,200,4000,1000,990.5015,990.2443,0.9997,36.5635,116.9564,0.3126,DONE
2026-01-27 19:59:14,Synthetic_high_corr,1000,dense_k,10,200,50,492.0420,103.1077,0.2096,0.1112,1.1974,0.0929,DONE
2026-01-27 19:59:22,Synthetic_high_corr,1000,dense_k,50,1000,50,984.2900,983.3116,0.9990,1.4288,6.0886,0.2347,DONE
2026-01-27 19:59:40,Synthetic_high_corr,1000,dense_k,100,2000,50,987.6104,986.9760,0.9994,6.1008,12.1355,0.5027,DONE
2026-01-27 20:00:14,Synthetic_high_corr,1000,dense_k,150,3000,50,989.2068,988.8876,0.9997,16.1120,17.9270,0.8988,DONE
2026-01-27 20:01:11,Synthetic_high_corr,1000,dense_k,200,4000,50,990.3944,990.1668,0.9998,32.8184,24.4744,1.3409,DONE
