Timestamp,Dataset,p,Experiment,k,Steps,Samples,Alpha,Greedy_Obj,FW_Obj,Ratio,Greedy_Time_s,FW_Time_s,Speedup_x,Status
2026-01-28 12:40:15,Residential,103,compare_k1_a0.1_m20,1,100,20,0.1000,67.5649,67.0536,0.9924,0.0010,0.0177,0.0582,DONE
2026-01-28 12:40:15,Residential,103,compare_k10_a0.1_m20,10,200,20,0.1000,94.3341,91.5609,0.9706,0.0108,0.0351,0.3091,DONE
2026-01-28 12:40:15,Residential,103,compare_k20_a0.1_m20,20,400,20,0.1000,100.0077,99.6479,0.9964,0.0266,0.0726,0.3659,DONE
2026-01-28 12:40:15,Residential,103,compare_k30_a0.1_m20,30,600,20,0.1000,101.9689,101.7951,0.9983,0.0498,0.1064,0.4684,DONE
2026-01-28 12:40:15,Residential,103,compare_k51_a0.1_m20,51,1020,20,0.1000,102.9037,102.8715,0.9997,0.1095,0.1804,0.6068,DONE
2026-01-28 12:40:17,Residential,103,compare_k1_a0.1_m50,1,100,50,0.1000,67.5649,66.9659,0.9911,0.0010,0.0317,0.0325,DONE
2026-01-28 12:40:17,Residential,103,compare_k10_a0.1_m50,10,200,50,0.1000,94.3341,93.3420,0.9895,0.0107,0.0630,0.1698,DONE
2026-01-28 12:40:17,Residential,103,compare_k20_a0.1_m50,20,400,50,0.1000,100.0077,98.4756,0.9847,0.0269,0.1252,0.2153,DONE
2026-01-28 12:40:17,Residential,103,compare_k30_a0.1_m50,30,600,50,0.1000,101.9689,101.6752,0.9971,0.0486,0.1934,0.2515,DONE
2026-01-28 12:40:17,Residential,103,compare_k51_a0.1_m50,51,1020,50,0.1000,102.9037,102.8334,0.9993,0.1065,0.3239,0.3289,DONE
2026-01-28 12:40:19,Residential,103,compare_k1_a0.2_m20,1,100,20,0.2000,67.5649,66.9243,0.9905,0.0011,0.0183,0.0587,DONE
2026-01-28 12:40:19,Residential,103,compare_k10_a0.2_m20,10,200,20,0.2000,94.3341,91.2479,0.9673,0.0112,0.0361,0.3102,DONE
2026-01-28 12:40:19,Residential,103,compare_k20_a0.2_m20,20,400,20,0.2000,100.0077,98.7217,0.9871,0.0261,0.0717,0.3637,DONE
2026-01-28 12:40:19,Residential,103,compare_k30_a0.2_m20,30,600,20,0.2000,101.9689,101.6922,0.9973,0.0491,0.1088,0.4511,DONE
2026-01-28 12:40:19,Residential,103,compare_k51_a0.2_m20,51,1020,20,0.2000,102.9037,102.8845,0.9998,0.1088,0.1814,0.6000,DONE
2026-01-28 12:40:20,Residential,103,compare_k1_a0.2_m50,1,100,50,0.2000,67.5649,67.5649,1.0000,0.0010,0.0310,0.0330,DONE
2026-01-28 12:40:20,Residential,103,compare_k10_a0.2_m50,10,200,50,0.2000,94.3341,92.7600,0.9833,0.0105,0.0618,0.1695,DONE
2026-01-28 12:40:21,Residential,103,compare_k20_a0.2_m50,20,400,50,0.2000,100.0077,99.0579,0.9905,0.0265,0.1246,0.2128,DONE
2026-01-28 12:40:21,Residential,103,compare_k30_a0.2_m50,30,600,50,0.2000,101.9689,101.6766,0.9971,0.0483,0.1882,0.2566,DONE
