Timestamp,Dataset,p,Final_Critical_k,Speedup_At_k,Ratio
2026-02-01 17:36:24,Synthetic_high_corr,25,24,0.0194,1.0000
2026-02-01 17:36:25,Synthetic_high_corr,32,32,0.0356,1.0000
2026-02-01 17:36:27,Synthetic_high_corr,40,39,0.0608,1.0000
2026-02-01 17:36:28,Synthetic_high_corr,48,48,0.0967,1.0000
2026-02-01 17:36:30,Synthetic_high_corr,56,49,0.1343,1.0000
2026-02-01 17:36:32,Synthetic_high_corr,63,48,0.1679,1.0000
2026-02-01 17:36:35,Synthetic_high_corr,71,54,0.1998,1.0000
2026-02-01 17:36:39,Synthetic_high_corr,79,60,0.2429,1.0000
2026-02-01 17:36:43,Synthetic_high_corr,87,77,0.2754,1.0000
2026-02-01 17:36:47,Synthetic_high_corr,94,71,0.3226,1.0000
2026-02-01 17:36:52,Synthetic_high_corr,102,77,0.3683,1.0000
2026-02-01 17:36:58,Synthetic_high_corr,110,97,0.4275,1.0000
2026-02-01 17:37:05,Synthetic_high_corr,118,89,0.4702,0.9999
2026-02-01 17:37:13,Synthetic_high_corr,125,94,0.5302,0.9999
2026-02-01 17:37:23,Synthetic_high_corr,133,100,0.5875,1.0000
2026-02-01 17:37:35,Synthetic_high_corr,141,106,0.6458,1.0000
2026-02-01 17:37:49,Synthetic_high_corr,149,131,0.7131,1.0000
2026-02-01 17:38:03,Synthetic_high_corr,156,137,0.7859,1.0000
2026-02-01 17:38:20,Synthetic_high_corr,164,123,0.8764,1.0000
2026-02-01 17:38:39,Synthetic_high_corr,172,151,0.9458,1.0000
2026-02-01 17:38:42,Synthetic_high_corr,180,135,0.9974,1.0000
2026-02-01 17:38:46,Synthetic_high_corr,187,141,1.0413,1.0000
2026-02-01 17:38:53,Synthetic_high_corr,195,122,1.0207,0.9999
2026-02-01 17:39:03,Synthetic_high_corr,203,114,1.0350,1.0000
2026-02-01 17:39:05,Synthetic_high_corr,211,106,0.9713,0.9999
2026-02-01 17:39:06,Synthetic_high_corr,25,24,0.0196,1.0000
