Timestamp,Dataset,p,Experiment,k,Steps,Samples,Alpha,Greedy_Obj,FW_Obj,Ratio,Greedy_Time_s,FW_Time_s,Speedup_x,Status
2026-05-17 12:31:57,Synthetic_high_corr,500,tune_a0.001_nmc20,50,1000,20,0.0010,492.6370,467.8021,0.9496,0.7113,1.2947,0.5494,DONE
2026-05-17 12:32:03,Mnist,639,tune_a0.001_nmc20,63,1260,20,0.0010,367.5541,308.1265,0.8383,1.4027,2.8470,0.4927,DONE
2026-05-17 12:32:05,Madelon,500,tune_a0.001_nmc20,50,1000,20,0.0010,73.8241,58.8801,0.7976,0.6839,1.2967,0.5274,DONE
2026-05-17 12:32:07,Synthetic_toeplitz,500,tune_a0.001_nmc20,50,1000,20,0.0010,344.1063,298.2739,0.8668,0.7033,1.3514,0.5204,DONE
2026-05-17 12:32:07,Residential,103,tune_a0.001_nmc20,10,1000,20,0.0010,94.3341,84.2829,0.8935,0.0118,0.1800,0.0658,DONE
2026-05-17 12:32:09,Secom,478,tune_a0.001_nmc20,47,1000,20,0.0010,264.4359,149.5025,0.5654,0.5896,1.2261,0.4808,DONE
2026-05-17 12:32:10,Arrhythmia,262,tune_a0.001_nmc20,26,1000,20,0.0010,141.5791,118.8995,0.8398,0.1135,0.4274,0.2656,DONE
2026-05-17 12:32:12,Myocardial,111,tune_a0.001_nmc20,11,1000,20,0.0010,21.5093,19.9866,0.9292,0.0183,0.1833,0.0996,DONE
2026-05-17 12:32:14,Synthetic_high_corr,500,tune_a0.001_nmc50,50,1000,50,0.0010,492.6573,444.4788,0.9022,0.7018,1.6146,0.4347,DONE
2026-05-17 12:32:21,Mnist,639,tune_a0.001_nmc50,63,1260,50,0.0010,367.5541,336.1792,0.9146,1.3782,3.4690,0.3973,DONE
2026-05-17 12:32:23,Madelon,500,tune_a0.001_nmc50,50,1000,50,0.0010,73.8241,65.6723,0.8896,0.6798,1.5938,0.4266,DONE
2026-05-17 12:32:25,Synthetic_toeplitz,500,tune_a0.001_nmc50,50,1000,50,0.0010,341.5724,323.5062,0.9471,0.6880,1.6113,0.4270,DONE
2026-05-17 12:32:26,Residential,103,tune_a0.001_nmc50,10,1000,50,0.0010,94.3341,80.7473,0.8560,0.0117,0.3214,0.0364,DONE
2026-05-17 12:32:28,Secom,478,tune_a0.001_nmc50,47,1000,50,0.0010,264.4359,187.2241,0.7080,0.6076,1.5352,0.3958,DONE
2026-05-17 12:32:29,Arrhythmia,262,tune_a0.001_nmc50,26,1000,50,0.0010,141.5791,125.5933,0.8871,0.1124,0.6099,0.1844,DONE
2026-05-17 12:32:31,Myocardial,111,tune_a0.001_nmc50,11,1000,50,0.0010,21.5093,20.8521,0.9694,0.0198,0.3278,0.0604,DONE
2026-05-17 12:32:34,Synthetic_high_corr,500,tune_a0.001_nmc100,50,1000,100,0.0010,492.5925,492.1255,0.9991,0.6873,2.0447,0.3361,DONE
2026-05-17 12:33:42,Synthetic_VaryP,25,vary_p,20,800,100,0.0100,20374.0490,20374.0490,1.0000,0.0044,0.4079,0.0108,DONE
2026-05-17 12:33:42,Synthetic_VaryP,35,vary_p,20,800,100,0.0100,20862.7033,20862.7033,1.0000,0.0073,0.4015,0.0183,DONE
2026-05-17 12:33:43,Synthetic_VaryP,45,vary_p,20,800,100,0.0100,21376.8304,21362.4753,0.9993,0.0105,0.3965,0.0265,DONE
2026-05-17 12:33:43,Synthetic_VaryP,55,vary_p,20,800,100,0.0100,21684.6980,21684.6980,1.0000,0.0133,0.4240,0.0314,DONE
2026-05-17 12:33:43,Synthetic_VaryP,65,vary_p,20,800,100,0.0100,22152.8876,22152.9730,1.0000,0.0217,0.4469,0.0486,DONE
2026-05-17 12:33:44,Synthetic_VaryP,75,vary_p,20,800,100,0.0100,22552.2693,22520.0898,0.9986,0.0196,0.4827,0.0405,DONE
2026-05-17 12:33:44,Synthetic_VaryP,85,vary_p,20,800,100,0.0100,22725.0282,22705.7907,0.9992,0.0229,0.4434,0.0517,DONE
2026-05-17 12:33:45,Synthetic_VaryP,95,vary_p,20,800,100,0.0100,22695.3283,22691.0868,0.9998,0.0255,0.5299,0.0481,DONE
2026-05-17 12:33:46,Synthetic_VaryP,105,vary_p,20,800,100,0.0100,22915.3668,22893.5737,0.9990,0.0390,0.5312,0.0734,DONE
2026-05-17 12:33:46,Synthetic_VaryP,115,vary_p,20,800,100,0.0100,23277.2864,23257.8158,0.9992,0.0361,0.6729,0.0537,DONE
2026-05-17 12:33:47,Synthetic_VaryP,125,vary_p,20,800,100,0.0100,23597.1859,23568.3098,0.9988,0.0401,0.6340,0.0632,DONE
2026-05-17 12:33:48,Synthetic_VaryP,135,vary_p,20,800,100,0.0100,23796.2060,23762.7569,0.9986,0.0458,0.6513,0.0702,DONE
2026-05-17 12:33:48,Synthetic_VaryP,145,vary_p,20,800,100,0.0100,24075.3261,24009.1744,0.9973,0.0415,0.5843,0.0710,DONE
2026-05-17 12:33:49,Synthetic_VaryP,155,vary_p,20,800,100,0.0100,24566.7528,24544.7190,0.9991,0.0426,0.5203,0.0818,DONE
2026-05-17 12:33:49,Synthetic_VaryP,165,vary_p,20,800,100,0.0100,24189.3841,24119.6241,0.9971,0.0456,0.5364,0.0850,DONE
2026-05-17 12:33:50,Synthetic_VaryP,175,vary_p,20,800,100,0.0100,24659.2004,24625.1219,0.9986,0.0476,0.5558,0.0857,DONE
2026-05-17 12:33:51,Synthetic_VaryP,185,vary_p,20,800,100,0.0100,25082.7210,25076.4905,0.9998,0.0517,0.5693,0.0908,DONE
2026-05-17 12:33:51,Synthetic_VaryP,195,vary_p,20,800,100,0.0100,25112.1585,25063.1117,0.9980,0.0537,0.5949,0.0903,DONE
2026-05-17 12:33:52,Synthetic_VaryP,205,vary_p,20,800,100,0.0100,25431.2830,25402.5919,0.9989,0.0574,0.6723,0.0854,DONE
2026-05-17 12:33:53,Synthetic_VaryP,215,vary_p,20,800,100,0.0100,25486.4794,25441.6260,0.9982,0.0790,0.8554,0.0924,DONE
2026-05-17 12:33:54,Synthetic_VaryP,225,vary_p,20,800,100,0.0100,25669.9430,25641.2798,0.9989,0.0708,0.8096,0.0875,DONE
