Test,Dim,Cond(A),Samples,Max Rel,Mean Rel,Status
Stress (Rand),50,1.0e+00,1000,2.71e-08,1.19e-08,PASS
Stress (Rand),50,1.0e+04,1000,4.79e-08,2.18e-08,PASS
Stress (Rand),50,1.0e+08,1000,4.99e-08,2.18e-08,PASS
Stress (Rand),100,1.0e+00,1000,4.63e-08,2.40e-08,PASS
Stress (Rand),100,1.0e+04,1000,7.06e-08,4.33e-08,PASS
Stress (Rand),100,1.0e+08,1000,7.43e-08,4.29e-08,PASS
Stress (Rand),200,1.0e+00,1000,8.96e-08,4.93e-08,PASS
Stress (Rand),200,1.0e+04,1000,1.41e-07,9.30e-08,PASS
Stress (Rand),200,1.0e+08,1000,1.41e-07,9.24e-08,PASS
Test,Dim,Cond(A),Samples,Max Rel,Mean Rel,Status
Stress g(t),50,1.0e+00,20,3.78e-07,2.52e-07,PASS
Stress g(t),50,1.0e+04,20,8.85e-08,6.31e-08,PASS
Stress g(t),50,1.0e+08,20,9.62e-08,6.88e-08,PASS
Stress g(t),100,1.0e+00,20,7.95e-07,4.82e-07,PASS
Stress g(t),100,1.0e+04,20,1.42e-07,1.30e-07,PASS
Stress g(t),100,1.0e+08,20,1.61e-07,1.28e-07,PASS
Stress g(t),200,1.0e+00,20,1.31e-06,8.68e-07,PASS
Stress g(t),200,1.0e+04,20,2.83e-07,2.51e-07,PASS
Stress g(t),200,1.0e+08,20,2.75e-07,2.49e-07,PASS
